nMax,time,avgScore,varScore,maxScore
7500,3.76624,-41.8376,89.5355,-30.0123
7500,4.70205,-42.1849,405.714,-24.2164
7500,4.01299,-46.8104,282.868,-29.267
7500,4.38222,-44.5516,223.437,-32.0871
7500,1.73204,-36.308,508.069,-24.82
7500,4.90516,-24.4338,173.512,-15.2608
7500,4.60998,-37.2689,24.861,-28.7979
7500,6.517,-37.7201,91.1124,-23.3082
7500,4.15574,-36.6924,51.191,-23.9154
7500,8.588,-39.4787,115.053,-26.4997
7500,4.144,-43.5311,138.571,-34.3578
7500,8.03391,-38.8138,88.7731,-27.7109
7500,4.20714,-39.4872,23.8959,-33.7189
8000,4.80566,-42.7606,749.029,-27.1403
8000,14.9449,-40.0242,89.2415,-29.2694
8000,7.62529,-38.6925,22.8781,-29.5642
8000,7.06732,-43.662,111.696,-21.8145
8000,3.50307,-32.616,24.7264,-26.1787
8000,2.67721,-51.2067,84.2607,-36.0653
8000,4.14108,-37.0685,60.1952,-30.0514
8000,1.79915,-42.6892,226.962,-33.2878
8000,4.11951,-45.5836,257.357,-28.638
8000,6.91219,-47.931,1962.34,-29.7522
8000,2.66815,-40.2839,56.2697,-27.661
8000,4.59062,-38.3005,17.4063,-31.9483
8000,6.18521,-43.3631,1534.32,-29.4574
8000,4.9347,-38.4306,82.6198,-32.1456
8000,1.85485,-50.6721,581.783,-35.628
8000,3.57423,-43.8802,39.1564,-34.6401
8000,7.03894,-34.7318,28.3304,-25.9144
8000,2.38642,-30.2589,75.3946,-19.9617
8000,3.50958,-42.9063,184.433,-30.8181
8000,2.98092,-30.989,176.715,-24.6034
8500,3.14023,-41.8451,311.485,-33.5686
8500,2.7538,-41.4695,112.616,-31.4956
8500,4.26752,-43.4063,204.1,-34.2613
8500,3.29692,-40.4953,163.195,-28.9582
8500,3.34405,-42.4602,1825.06,-29.333
8500,7.22281,-38.9687,447.03,-32.3287
8500,3.28873,-39.8078,9.38894,-34.5304
8500,5.47942,-37.6467,20.5954,-27.4993
8500,6.27144,-32.0979,59.6328,-24.3519
8500,2.8541,-38.4257,370.861,-22.577
8500,3.42221,-35.1359,69.1452,-31.44
8500,3.1739,-44.1977,38.3633,-30.7786
8500,4.21733,-37.3876,126.109,-29.5836
8500,3.90025,-39.4327,106.208,-28.9611
8500,2.24884,-36.1523,39.7332,-29.3509
8500,5.46102,-44.4339,271.954,-33.3832
8500,2.17378,-44.0222,286.805,-32.2876
8500,3.22531,-35.4014,51.9713,-26.7704
8500,5.93513,-39.9342,83.7542,-26.7176
8500,2.72048,-58.6749,3425.98,-29.0862
9000,14.5994,-39.014,271.825,-25.1689
9000,4.91319,-37.3512,201.752,-26.6546
9000,7.08801,-44.1926,60.6758,-34.5235
9000,4.01899,-42.1982,92.4729,-29.6419
9000,2.58575,-37.5441,44.6312,-26.8262
9000,3.44669,-38.4407,89.3558,-30.7128
9000,4.01904,-33.0647,28.26,-23.2952
9000,14.2698,-41.2389,252.158,-26.7082
9000,2.77445,-38.2092,13.1162,-30.1362
9000,2.63937,-39.1112,38.6622,-26.7589
9000,22.5161,-31.1621,108.028,-22.6014
9000,4.13877,-45.7627,596.863,-31.5663
9000,1.52596,-39.6856,87.1322,-30.2771
9000,3.10796,-36.8573,513.505,-28.4593
9000,26.612,-34.3129,973.27,-23.9167
