nMax,time,avgScore,varScore,maxScore
10,14.6511,-19.8186,0.0672567,-19.7006
10,9.52546,-14.969,0.00469271,-14.9069
10,9.69426,-19.2219,0.00213542,-19.1587
10,6.59284,-23.5721,0.112711,-23.3896
10,14.684,-21.9488,0.00438019,-21.9233
10,6.53741,-22.5832,0.0277594,-22.3187
10,15.1916,-18.0917,0.0119923,-17.9543
10,6.4734,-17.3422,0.00238613,-17.2995
10,9.96086,-19.2559,0.0075715,-19.2315
10,6.23738,-16.4096,0.00106383,-16.3916
10,8.35341,-21.0014,0.398841,-20.73
10,8.41726,-15.7768,0.00685641,-15.7238
11,11.7455,-17.0514,0.0355239,-16.8719
11,7.92037,-16.5395,0.206661,-15.9994
11,10.2249,-23.3186,0.0102584,-23.1791
11,14.5155,-19.7521,0.0991493,-19.4919
11,10.4478,-22.696,0.000972953,-22.5375
11,8.48763,-19.9383,0.0240774,-19.8439
11,6.40764,-21.5605,0.00445776,-21.5374
11,13.4667,-19.9394,0.0846193,-19.69
11,18.5876,-24.3598,0.0333536,-24.1858
11,7.93348,-19.2163,0.0288596,-19.0988
11,15.9114,-22.2256,0.0347635,-22.1331
11,8.29143,-18.906,0.0160442,-18.8006
11,10.5358,-16.6022,0.00378436,-16.4687
11,6.67257,-23.3877,0.0215115,-23.2495
11,9.04214,-15.8861,0.0643867,-15.7946
11,8.15126,-20.2108,0.00931463,-20.1372
11,9.65239,-18.1772,0.0155718,-18.0975
11,7.88829,-17.8348,0.0887751,-17.6995
11,9.22305,-14.4879,0.0174446,-14.4463
11,11.1195,-19.7788,0.0988604,-19.7171
12,8.84374,-15.4353,0.139557,-15.2396
12,10.498,-21.2677,0.186979,-21.022
12,13.6873,-21.0826,0.0176943,-20.9651
12,7.98053,-17.776,0.234034,-17.2869
12,13.0849,-18.9506,0.0808428,-18.7736
12,17.1286,-20.7088,0.175561,-20.6232
12,15.2245,-18.5046,0,-18.5046
12,18.8078,-14.5186,0.000276375,-14.4773
12,6.66765,-18.4197,0.0122323,-18.295
12,9.84932,-27.9935,0.0755327,-27.8756
12,12.1176,-18.688,0.0583627,-18.6387
12,13.3577,-18.7025,0.141282,-18.6258
12,13.4871,-22.1739,0.0813278,-22.018
12,11.344,-21.2651,0.0503018,-21.2193
12,7.32532,-21.0553,0.0430289,-20.7401
12,22.6642,-21.4656,0.06661,-21.1062
12,7.52688,-22.6381,0.0730616,-22.3754
12,15.0582,-16.9613,0.156994,-16.6377
12,15.2534,-19.0472,0.0117366,-18.8763
12,14.5118,-18.997,0.0194063,-18.9455
13,20.6272,-18.4958,0.00572047,-18.3539
13,18.2141,-16.2928,0.109137,-16.2224
13,7.16841,-20.1642,0.0802856,-20.0153
13,13.5508,-15.6034,0.000338378,-15.5731
13,22.3658,-18.8339,0.0110398,-18.7952
13,14.5519,-20.8709,0.00360342,-20.8581
13,8.66367,-20.1361,0.00471425,-20.0421
13,18.9335,-20.1599,0.329936,-19.9876
13,10.5745,-20.7349,0.0584893,-20.5094
13,8.34122,-22.6518,0.00556729,-22.6025
13,14.0389,-19.281,0.0394153,-18.9956
13,11.5334,-23.4228,0.0243525,-23.3118
13,9.92765,-21.9398,0.0878507,-21.7512
13,5.52093,-23.0723,0.0580477,-23.0209
13,19.4117,-21.4355,0.0140733,-21.2049
13,10.7519,-18.0443,0.00909444,-17.9591
13,21.3821,-25.1687,0.0318112,-25.0501
13,14.607,-21.0932,0.0628728,-20.9651
13,11.0017,-19.4752,0.0349155,-18.9049
13,12.2264,-23.2303,0.114298,-23.0067
14,16.5143,-16.3644,0.0364503,-16.2224
14,12.5783,-18.6141,0.0122856,-18.5262
14,15.2822,-15.4738,0.0301323,-15.4012
14,12.1349,-16.4576,0.0105468,-16.3146
14,14.9147,-20.8254,0.0387385,-20.6952
14,16.9172,-19.8765,0.0105906,-19.7663
