method,numSamps,time,avgScore,maxScore
smc,600,136.75,-4.70046,-4.41902
smc,600,89.4007,-7.51907,-7.22606
smc,600,18.895,-7.92189,-7.61588
smc,600,63.6818,-7.27619,-6.94631
smc,600,53.8752,-9.96542,-9.72839
smc_fixedOrder,600,21.1904,-10.4656,-10.2752
smc_fixedOrder,600,22.4907,-10.3663,-9.95462
smc_fixedOrder,600,17.9349,-10.3511,-10.181
smc_fixedOrder,600,31.3253,-8.24818,-8.09578
smc_fixedOrder,600,20.4295,-10.0565,-9.73208
smc_fixedOrder,600,19.8017,-10.2595,-10.0863
smc_fixedOrder,600,41.0811,-8.38324,-7.99567
smc_fixedOrder,600,18.6382,-10.0121,-9.71832
smc_fixedOrder,600,26.8454,-8.88979,-8.55992
smc_fixedOrder,600,20.0128,-9.77528,-9.54635
mh,600,100.901,-15.7019,-15.0685
mh,600,100.904,-10.5962,-9.24005
mh,600,100.933,-87.3479,-17.9168
mh,600,100.911,-19.7656,-15.2216
mh,600,100.904,-17.4322,-11.6229
mh,600,100.896,-11.5638,-8.6078
mh,600,100.911,-17.0286,-12.7834
mh,600,100.906,-22.5599,-10.0943
mh,600,100.935,-18.9658,-15.1693
mh,600,100.914,-31.981,-15.2606
smc,700,134.221,-5.9395,-5.60007
smc,700,39.5961,-7.54989,-7.4313
smc,700,470.938,-2.15955,-1.85961
smc,700,60.089,-8.76341,-8.52542
smc,700,33.2435,-9.75008,-9.43035
smc,700,115.979,-5.73147,-5.49834
smc,700,28.4423,-10.0499,-9.89601
smc,700,95.1056,-6.74361,-6.6384
smc,700,197.598,-4.79194,-4.75297
smc,700,266.812,-4.56246,-4.37152
smc_fixedOrder,700,24.0738,-9.57412,-9.03014
smc_fixedOrder,700,31.948,-8.69229,-8.44328
smc_fixedOrder,700,31.8389,-6.77739,-6.58346
smc_fixedOrder,700,20.891,-10.2903,-10.0366
smc_fixedOrder,700,44.5473,-8.77687,-8.41595
smc_fixedOrder,700,21.3322,-10.7107,-10.3255
smc_fixedOrder,700,33.7099,-8.16709,-7.9755
smc_fixedOrder,700,83.3869,-5.0975,-4.69012
smc_fixedOrder,700,27.9019,-8.93438,-8.81067
smc_fixedOrder,700,43.5438,-8.64669,-8.40373
mh,700,144.358,-19.7357,-17.4964
mh,700,144.283,-16.3667,-15.1762
mh,700,144.342,-19.4023,-15.4024
mh,700,144.31,-13.7059,-10.4498
mh,700,144.308,-10.7711,-7.01272
mh,700,144.287,-11.9525,-7.29155
mh,700,144.275,-15.787,-15.0449
mh,700,144.291,-11.65,-8.23216
mh,700,144.301,-13.3267,-12.4748
mh,700,144.274,-15.8305,-15.0499
smc,800,42.0632,-9.56712,-9.34639
smc,800,143.335,-6.34211,-6.13696
smc,800,102.082,-8.36529,-8.01807
smc,800,84.1157,-9.61654,-9.37375
smc,800,120.285,-6.52639,-6.2977
