method,numSamps,time,avgScore,maxScore
smc,700,5.43019,-14.5965,-13.8643
smc,700,7.72723,-15.6598,-15.1408
smc_fixedOrder,700,4.24073,-13.754,-13.6219
smc_fixedOrder,700,3.12705,-24.0554,-23.8618
smc_fixedOrder,700,1.96149,-35.6,-35.2733
smc_fixedOrder,700,3.25643,-17.2487,-16.8926
smc_fixedOrder,700,5.28827,-17.3089,-17.2419
smc_fixedOrder,700,3.39253,-12.863,-12.7613
smc_fixedOrder,700,2.60452,-26.7548,-26.5802
smc_fixedOrder,700,3.99776,-16.832,-16.6239
smc_fixedOrder,700,3.5599,-17.6992,-17.457
smc_fixedOrder,700,4.14552,-19.5704,-19.3443
mh,700,6.14578,-33.0133,-16.3259
mh,700,6.1399,-33.1419,-16.6995
mh,700,6.13296,-21.3372,-12.3361
mh,700,6.12115,-62.6476,-27.1903
mh,700,6.13943,-34.7721,-16.9758
mh,700,6.21425,-32.894,-20.7737
mh,700,6.1067,-22.231,-14.5052
mh,700,6.13236,-21.3853,-9.93364
mh,700,6.1112,-25.5315,-15.5067
mh,700,6.08638,-30.4747,-15.5924
smc,800,4.21876,-14.5564,-13.706
smc,800,7.41782,-13.9141,-13.4062
smc,800,6.59323,-12.7869,-12.5784
smc,800,7.5563,-11.3357,-11.2046
smc,800,6.93997,-13.8228,-13.6845
smc,800,7.72781,-14.1415,-13.8002
smc,800,5.88176,-14.9752,-14.6792
smc,800,8.40957,-10.7406,-10.4651
smc,800,4.81619,-16.4417,-16.0989
smc,800,7.18193,-13.851,-13.5887
smc_fixedOrder,800,3.79648,-17.835,-17.4864
smc_fixedOrder,800,0.995862,-37.9855,-37.9376
smc_fixedOrder,800,4.1026,-20.8933,-20.6447
smc_fixedOrder,800,1.53984,-33.3383,-33.3341
smc_fixedOrder,800,3.51851,-17.026,-17.0018
smc_fixedOrder,800,2.07429,-37.1281,-37.1281
smc_fixedOrder,800,3.45165,-19.2256,-19.1263
smc_fixedOrder,800,1.47662,-36.9445,-36.6305
smc_fixedOrder,800,4.02501,-18.1604,-18.0016
smc_fixedOrder,800,1.79699,-37.8738,-37.7076
mh,800,6.84636,-24.666,-13.0113
mh,800,6.83994,-26.285,-17.0748
mh,800,6.85168,-27.0751,-15.9673
mh,800,6.81656,-26.9497,-14.5609
mh,800,6.81419,-25.3277,-19.295
mh,800,6.79238,-25.2175,-14.4233
mh,800,6.81177,-37.5665,-15.8606
mh,800,6.83317,-24.3432,-11.4362
mh,800,6.82704,-26.4378,-13.8873
mh,800,6.83318,-28.2013,-18.5902
smc,900,7.51169,-11.6563,-11.3005
smc,900,6.00678,-16.6909,-16.2716
smc,900,9.62007,-12.9538,-12.7571
smc,900,6.44641,-14.1655,-13.9564
smc,900,5.74511,-15.3058,-15.0561
smc,900,7.04836,-13.5208,-13.2223
smc,900,5.40512,-15.6961,-15.6025
smc,900,6.49012,-11.2563,-10.8868
smc,900,7.2679,-13.9949,-13.7506
smc,900,7.13535,-13.812,-13.0871
smc_fixedOrder,900,3.31531,-20.7071,-20.5188
smc_fixedOrder,900,5.06704,-18.0155,-17.7293
smc_fixedOrder,900,3.71387,-18.3052,-17.7036
smc_fixedOrder,900,4.19011,-17.6899,-17.3012
smc_fixedOrder,900,1.0936,-36.6748,-36.6659
smc_fixedOrder,900,3.73038,-22.4287,-21.8574
smc_fixedOrder,900,4.18857,-20.634,-20.4713
smc_fixedOrder,900,3.86103,-20.4608,-19.7722
smc_fixedOrder,900,5.03922,-18.6688,-18.5525
smc_fixedOrder,900,1.0813,-37.6816,-37.6502
mh,900,7.02213,-30.4503,-14.7385
mh,900,7.02921,-29.5793,-17.2834
mh,900,7.05472,-21.4486,-11.6727
mh,900,7.04564,-25.2703,-13.1207
mh,900,6.99731,-28.051,-15.8758
mh,900,7.04936,-42.7896,-28.1732
mh,900,7.0319,-34.5935,-15.6625
mh,900,7.00207,-33.3686,-18.3968
mh,900,6.9902,-26.5392,-15.081
mh,900,7.0003,-24.5776,-16.8563
smc,1000,6.8805,-15.508,-15.129
smc,1000,6.36542,-14.2774,-14.0036
smc,1000,7.07885,-13.1604,-12.4535
smc,1000,6.45428,-14.3516,-13.5931
smc,1000,7.57197,-13.5428,-12.9593
smc,1000,6.27453,-13.3511,-13.1178
smc,1000,8.4911,-12.9293,-12.6013
smc,1000,4.14019,-13.7911,-13.7038
smc,1000,7.49768,-15.3475,-14.8988
smc,1000,12.0025,-11.7041,-11.4993
smc_fixedOrder,1000,4.70322,-16.4343,-16.3454
smc_fixedOrder,1000,3.32962,-23.856,-22.8032
smc_fixedOrder,1000,5.1502,-14.3079,-14.0085
smc_fixedOrder,1000,8.10391,-20.0839,-19.6498
smc_fixedOrder,1000,4.39158,-21.0164,-20.4876
smc_fixedOrder,1000,1.86974,-22.7682,-22.3119
smc_fixedOrder,1000,5.51921,-19.4631,-19.0952
smc_fixedOrder,1000,4.03343,-16.5968,-16.1355
smc_fixedOrder,1000,4.02572,-19.4404,-19.0662
smc_fixedOrder,1000,5.06026,-18.677,-18.4075
mh,1000,7.53378,-30.4406,-18.7736
mh,1000,7.44045,-27.6081,-17.8003
mh,1000,7.45847,-30.8871,-18.9556
mh,1000,7.4107,-28.9669,-16.8909
mh,1000,7.43436,-31.1027,-12.4821
mh,1000,7.46754,-31.3547,-11.5361
mh,1000,7.39318,-17.3586,-12.6736
mh,1000,7.44135,-33.9167,-17.0539
mh,1000,7.40316,-22.8751,-12.9848
mh,1000,7.42524,-22.1817,-14.4435
